Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv2_6,	GEMM,	1.1055819126782853,	2.8945407582582128,	0.0,	1.4150762818780047,	5.415198952814503,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	7.6292073933936475,	185.15149759999997,	192.7807049933936,	
Conv1_7,	GEMM,	0.9848372459357541,	1.264976994539106,	0.0,	9.868180765614524,	12.117995006089384,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	12.618244813492563,	185.1514976,	197.76974241349257,	
Conv2_7,	GEMM,	1.1055819126782853,	2.8945407582582128,	0.0,	1.4150762818780047,	5.415198952814503,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	7.6292073933936475,	185.15149759999997,	192.7807049933936,	
Conv1_8,	GEMM,	0.9848372459357541,	1.264976994539106,	0.0,	9.868180765614524,	12.117995006089384,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	12.618244813492563,	185.1514976,	197.76974241349257,	
Conv2_8,	GEMM,	1.1055819126782853,	2.8945407582582128,	0.0,	1.4150762818780047,	5.415198952814503,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	7.6292073933936475,	185.15149759999997,	192.7807049933936,	
Conv1_9,	GEMM,	0.9848372459357541,	1.264976994539106,	0.0,	9.868180765614524,	12.117995006089384,	0.12048977692737428,	0.020784216494413404,	0.0,	0.2762647137150837,	0.4175387071368714,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	179.41403630713685,	0.007501084600398795,	0.47626448761777723,	0.483765572218176,	0.0008438720175448645,	0.47626448761777723,	0.47710835963532205,	0.04435985114776642,	2.173346768948554,	2.2177066200963202,	0.030006292500597997,	3.0291242558158933,	3.059130548316491,	0.08271110026630808,	6.155000000000002,	6.23771110026631,	12.618244813492563,	185.1514976,	197.76974241349257,	
Conv2_9,	GEMM,	1.1055819126782853,	2.8945407582582128,	0.0,	1.4150762818780047,	5.415198952814503,	0.5155775032882611,	0.21744810072115384,	0.6436654382812499,	0.7262224097235576,	2.1029134520142225,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.0994110520142,	0.010045998849891066,	0.47626448761777723,	0.4863104864676683,	0.0014524335686589495,	0.47626448761777723,	0.4777169211864362,	0.059409943675093065,	2.173346768948554,	2.232756712623647,	0.04018661247127866,	3.0291242558158933,	3.0693108682871717,	0.11109498856492173,	6.155000000000002,	6.266094988564924,	7.6292073933936475,	185.15149759999997,	192.7807049933936,	
FC3_0,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_1,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_2,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
