Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_8,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	690.4198854279999,	1501.3062802279999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	844.361054809409,	856.13047578,	1700.491530589409,	
Conv2_8,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	9627.307452672,	14680.143559672,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	7118.692207069363,	11937.998142719998,	19056.69034978936,	
Conv1_9,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	690.4198854279999,	1501.3062802279999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	844.361054809409,	856.13047578,	1700.491530589409,	
Conv2_9,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	9627.307452672,	14680.143559672,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	7118.692207069363,	11937.998142719998,	19056.69034978936,	
FC3_0,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_1,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_2,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_3,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_4,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_5,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
