Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	11921.518280523365,	12366.683046923365,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	478.639426409409,	18116.306704897197,	18594.946131306606,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	166235.24931947663,	169039.53947547663,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	4870.146256069363,	252616.2096951028,	257486.35595117215,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	11921.518280523365,	12366.683046923365,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	478.639426409409,	18116.306704897197,	18594.946131306606,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	166235.24931947663,	169039.53947547663,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	4870.146256069363,	252616.2096951028,	257486.35595117215,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	11921.518280523365,	12366.683046923365,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	478.639426409409,	18116.306704897197,	18594.946131306606,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	166235.24931947663,	169039.53947547663,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	4870.146256069363,	252616.2096951028,	257486.35595117215,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	11921.518280523365,	12366.683046923365,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	478.639426409409,	18116.306704897197,	18594.946131306606,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	166235.24931947663,	169039.53947547663,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	4870.146256069363,	252616.2096951028,	257486.35595117215,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	11921.518280523365,	12366.683046923365,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	478.639426409409,	18116.306704897197,	18594.946131306606,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	166235.24931947663,	169039.53947547663,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	4870.146256069363,	252616.2096951028,	257486.35595117215,	
